ABI|Descrizione|Segno
F1|Incasso assegno circolare altro intermediario|D 
F2|Incasso assegno circolare stesso intermediario|D 
F3|Cambio assegni tratti su altro intermediario|D 
F4|Cambio assegni tratti sullo stesso intermediario|D 
A2|Incasso proprio assegno tratto sullo stesso intermediario|D 
03|Versamento contante a mezzo sport. autom. o cassa continua|A 
D1|Versamento di contante|A
05|Prelevamento a mezzo sport. autom. stesso intermediario|D
52|Prelevamento con moduli di sportello|D
G1|Versamento assegni tratti su altro intermediario|A
G3|Versamento titoli di credito tratti su altro intermediario con resto|A 
G2|Versamento assegni tratti sullo stesso intermediario|A
G4|Versamento titoli di credito tratti sullo stesso intermediario con resto|A 
G5|Versamento titoli di credito e contante (residuale)|A 
13|Addebito per estinzione assegno|D 
G7|Versamento assegno circolare altro intermediario|A 
G8|Versamento assegno circolare stesso intermediario|A 
10|Emissione assegni circolari e titoli similari, vaglia|D 
51|Emissione assegni turistici|D 
BU|Deposito su libretti di risparmio|A 
BT|Rimborso su libretti di risparmio|D 
06|Accredito per incassi con addebito in c/c preautorizzato|A 
07|Accredito per incassi con addebito in c/c non preautorizzato o per cassa|A 
59|Incasso di mandato di pagamento|A/D 
09|Incasso tramite POS|A 
27|Emolumenti|A/D 
50|Pagamenti diversi|A/D 
DE|Estinzione carte prepagate|A/D 
DF|Emissione carte prepagate|A/D 
45|Pagamento per utilizzo carte di credito|A/D 
58|Esecuzione di reversali|A/D 
31|Effetti ritirati|A/D 
46|Pagamento o disposizione a mezzo sport. aut.|D 
43|Pagamento tramite POS|D 
39|Disposizione per emolumenti|D 
29|Accredito o incasso RI.BA|A/D 
30|Accredito o incasso effetti al S.B.F.|A/D 
56|Ricavo effetti o assegni in euro e/o valuta estera al dopo incasso|A/D 
64|Accredito o incasso effetti presentati allo sconto|A/D 
63|Accredito o incasso per sconto effetti diretti|A/D 
48|Bonifico a favore d'ordine e conto|A 
AA|Bonifico dall'estero|A 
26|Disposizione a favore di ...|D 
AA|Bonifico per l'estero|D 
AF|Disposizione di trasferimento disponibilità stesso intermediario - beneficiario|A 
AF|Disposizione di trasferimento disponibilità stesso intermediario - ordinante|D 
47|Accredito o incasso per utilizzo credito doc. su Italia|A/D 
72|Accredito o incasso per utilizzo credito documentario da estero|A/D 
BP|Incasso rimesse documentate da o per l'estero|A/D 
24|Incasso di documenti su Italia|A/D 
44|Addebito o pagamento per utilizzo credito documentario su estero|A/D 
BQ|Pagamento rimesse documentate da o per l'estero|A/D 
53|Addebito per utilizzo credito documentario su Italia|A/D 
25|Pagamento di documenti su Italia|A/D 
A7|Erogazione finanziamenti diversi e prestiti personali|A/D 
BI|Erogazione finanziamento import|A/D 
BM|Erogazione finanziamento export|A/D 
15|Rimborso finanziamenti|A/D 
BL|Rimborso finanziamento import|A/D 
BN|Rimborso finanziamento export|A/D 
74|Pagamento canone leasing|A/D 
14|Cedole, dividendi e premi estratti|A/D 
BA|Vendita a pronti titoli e diritti di opzione|A/D 
BF|Rimborso titoli e/o Fondi Comuni|A/D 
D6|Accredito-incasso per contratti derivati|A/D 
BV|Estinzione certificati di deposito, Buoni Fruttiferi|A/D 
D8|Estinzione polizze assicurative ramo vita|A/D 
BE|Sottoscrizione titoli e/o Fondi Comuni|A/D
BB|Acquisto a pronti titoli e diritti di opzione|A/D
D7|Addebito-pagamento per contratti derivati|A/D
BZ|Emissione certificati di deposito, Buoni Fruttiferi|A/D 
D9|Sottoscrizione polizze assicurative ramo vita|A/D 
BS|Consegna titoli al portatore|A 
BR|Ritiro titoli al portatore|D 
C1|Trasferimento titoli al portatore tra dossier (uscita)|D 
C2|Trasferimento titoli al portatore tra dossier (immissione)|A 
C3|Trasferimento titoli al portatore da altro Istituto|A 
C4|Trasferimento titoli al portatore ad altro Istituto|D 
C7|Versamento o consegna di contante e/o titoli al portatore da parte di banche o 
succursali situate all'estero (su conto e per cassa)|A 
C8|Prelievo o ritiro di contante e/o titoli al portatore da parte di banche o succursali situate 
all'estero (su conto e per cassa)|D 
U1|Trasferimento di denaro contante e titoli al port. ex art. 49, D.Lgs. 231/07 (cedente)|A 
U1|Trasferimento di denaro contante e titoli al port. ex art. 49, D.Lgs. 231/07 (ricevente)|D 
C0|Vendita d'oro e metalli preziosi|A/D 
C9|Acquisto d'oro e metalli preziosi|A/D 
42|Effetti insoluti o protestati|D 
55|Assegni bancari insoluti o protestati|D 
37|Insoluti RI.BA.|A/D 
57|Restituzione di assegni o vaglia irregolari|D 
08|Disposizioni di incasso preautorizzato impagate|D 
32|Effetti richiamati|A/D 
DB|Vendita banconote estere contro euro|A 
DC|Acquisto banconote estere contro euro|D 
U3|Versamento contante < € 15.000|A 
U4|Prelevamento contante < € 15.000|D 
S1|Autentica di girate per titoli azionari (cedente)|D 
S2|Autentica di girate per titoli azionari (cessionario)|A 
DG|Cambio taglio banconote|-
